entry_date,exit_date,days_held,S_entry,S_exit,K1,K2,premium,max_profit,max_loss,pnl,pnl_pct,short_delta,sigma,exit_reason,signal
2010-11-30,2010-12-01,1,90.1703109741211,92.09,85.66,81.15,0.109,0.109,4.401,0.0729,1.66,-0.0713,0.1336,profit_target,signal_A
2010-12-01,2010-12-02,1,92.08799743652344,93.27,87.48,82.88,0.1368,0.1368,4.4632,0.0705,1.58,-0.0817,0.1408,profit_target,signal_A
2010-12-02,2010-12-08,6,93.2675552368164,93.82,88.6,83.94,0.1456,0.1456,4.5144,0.0777,1.72,-0.0843,0.1426,profit_target,signal_A
2010-12-08,2010-12-13,5,93.81546783447266,94.79,89.12,84.43,0.1474,0.1474,4.5426,0.091,2.0,-0.0847,0.1429,profit_target,signal_A
2010-12-13,2010-12-17,4,94.7895278930664,95.09,90.05,85.31,0.1498,0.1498,4.5902,0.0803,1.75,-0.0851,0.143,profit_target,signal_A
2010-12-17,2010-12-21,4,95.08910369873048,95.92,90.33,85.58,0.1124,0.1124,4.6376,0.0638,1.38,-0.0703,0.133,profit_target,signal_A
2010-12-21,2010-12-28,7,95.92298889160156,96.26,91.13,86.33,0.116,0.116,4.684,0.0798,1.7,-0.0714,0.1335,profit_target,signal_A
2010-12-28,2011-01-03,6,96.2595672607422,97.19,91.45,86.63,0.0859,0.0859,4.7341,0.0757,1.6,-0.0582,0.1244,profit_target,signal_A
2011-01-03,2011-01-06,3,97.19288635253906,97.45,92.33,87.47,0.0464,0.0464,4.8136,0.032,0.67,-0.0376,0.1097,profit_target,signal_A
2011-01-06,2011-01-10,4,97.4529800415039,97.14,92.58,87.71,0.0255,0.0255,4.8445,0.018,0.37,-0.0244,0.0988,profit_target,signal_A
2011-01-10,2011-01-12,2,97.13931274414062,98.36,92.28,87.43,0.0081,0.0081,4.8419,0.0072,0.15,-0.0101,0.0837,profit_target,signal_A
2011-01-12,2011-01-13,1,98.36331939697266,98.2,93.45,88.53,0.0072,0.0072,4.9128,0.0066,0.13,-0.0092,0.0823,profit_target,signal_A
2011-01-13,2011-01-14,1,98.20269012451172,98.91,93.29,88.38,0.0005,0.0005,4.9095,0.0005,0.01,-0.001,0.0627,profit_target,signal_A
2011-01-14,2011-01-18,4,98.91413116455078,99.08,93.97,89.02,0.0001,0.0001,4.9499,0.0001,0.0,-0.0003,0.0564,profit_target,signal_A
2011-01-18,2011-01-19,1,99.08244323730467,98.11,94.13,89.17,0.0001,0.0001,4.9599,-0.0039,-0.08,-0.0003,0.0563,stop_loss,signal_A
