entry_date,exit_date,days_held,S_entry,S_exit,K1,K2,premium,max_profit,max_loss,pnl,pnl_pct,short_delta,sigma,exit_reason,signal
2010-12-22,2010-12-28,6,96.22132110595705,96.26,91.41,86.6,0.1085,0.1085,4.7015,0.0571,1.21,-0.0681,0.1314,profit_target,signal_C
2010-12-28,2011-01-03,6,96.2595672607422,97.19,91.45,86.63,0.0859,0.0859,4.7341,0.0757,1.6,-0.0582,0.1244,profit_target,signal_C
2011-01-03,2011-01-06,3,97.19288635253906,97.45,92.33,87.47,0.0464,0.0464,4.8136,0.032,0.67,-0.0376,0.1097,profit_target,signal_C
2011-01-06,2011-01-10,4,97.4529800415039,97.14,92.58,87.71,0.0255,0.0255,4.8445,0.018,0.37,-0.0244,0.0988,profit_target,signal_C
2011-01-10,2011-01-12,2,97.13931274414062,98.36,92.28,87.43,0.0081,0.0081,4.8419,0.0072,0.15,-0.0101,0.0837,profit_target,signal_C
2011-01-12,2011-01-13,1,98.36331939697266,98.2,93.45,88.53,0.0072,0.0072,4.9128,0.0066,0.13,-0.0092,0.0823,profit_target,signal_C
2011-01-13,2011-01-14,1,98.20269012451172,98.91,93.29,88.38,0.0005,0.0005,4.9095,0.0005,0.01,-0.001,0.0627,profit_target,signal_C
2011-01-14,2011-01-18,4,98.91413116455078,99.08,93.97,89.02,0.0001,0.0001,4.9499,0.0001,0.0,-0.0003,0.0564,profit_target,signal_C
2011-01-18,2011-01-19,1,99.08244323730467,98.11,94.13,89.17,0.0001,0.0001,4.9599,-0.0039,-0.08,-0.0003,0.0563,stop_loss,signal_C
2011-01-19,2011-01-24,5,98.11087036132812,98.76,93.21,88.3,0.0008,0.0008,4.9092,0.0007,0.01,-0.0015,0.0654,profit_target,signal_C
2011-01-24,2011-01-26,2,98.76113891601562,99.2,93.82,88.89,0.0009,0.0009,4.9291,0.0007,0.01,-0.0017,0.0664,profit_target,signal_C
2011-01-26,2011-01-28,2,99.19718933105467,97.71,94.24,89.28,0.0008,0.0008,4.9592,-0.0392,-0.79,-0.0016,0.0656,stop_loss,signal_C
2011-02-01,2011-02-07,6,100.01573944091795,100.96,95.01,90.01,0.0209,0.0209,4.9791,0.0176,0.35,-0.0206,0.0954,profit_target,signal_C
2011-02-08,2011-02-14,6,101.41571044921876,102.07,96.34,91.27,0.0217,0.0217,5.0483,0.0162,0.32,-0.021,0.0957,profit_target,signal_C
2011-02-14,2011-02-17,3,102.07357788085938,102.7,96.97,91.87,0.0233,0.0233,5.0767,0.0157,0.31,-0.022,0.0966,profit_target,signal_C
2011-02-17,2011-02-22,5,102.70086669921876,100.85,97.57,92.43,0.0207,0.0207,5.1193,-0.1338,-2.61,-0.0201,0.0947,stop_loss,signal_C
2012-01-27,2012-02-01,5,102.95755767822266,103.47,97.81,92.66,0.1269,0.1269,5.0231,0.0702,1.4,-0.0723,0.1342,profit_target,signal_C
2012-02-01,2012-02-03,2,103.46524810791016,105.08,98.29,93.12,0.115,0.115,5.055,0.1095,2.17,-0.0675,0.131,profit_target,signal_C
2012-02-03,2012-02-08,5,105.08197784423828,105.59,99.83,94.57,0.0326,0.0326,5.2274,0.0232,0.44,-0.0276,0.1015,profit_target,signal_C
2012-02-08,2012-02-13,5,105.58968353271484,105.72,100.31,95.03,0.0271,0.0271,5.2529,0.0201,0.38,-0.024,0.0984,profit_target,signal_C
2012-02-13,2012-02-16,3,105.72244262695312,106.26,100.44,95.15,0.015,0.015,5.275,0.0115,0.22,-0.0153,0.0899,profit_target,signal_C
2012-02-16,2012-02-21,5,106.26136779785156,106.59,100.95,95.64,0.01,0.01,5.3,0.007,0.13,-0.0111,0.085,profit_target,signal_C
2012-02-21,2012-02-24,3,106.58941650390624,106.95,101.26,95.93,0.0091,0.0091,5.3209,0.0054,0.1,-0.0103,0.084,profit_target,signal_C
2012-02-24,2012-02-28,4,106.94867706298828,107.44,101.6,96.25,0.0086,0.0086,5.3414,0.0067,0.12,-0.0099,0.0833,profit_target,signal_C
2012-02-28,2012-03-06,7,107.44076538085938,105.25,102.07,96.7,0.0066,0.0066,5.3634,-0.0693,-1.29,-0.008,0.0806,stop_loss,signal_C
